date,sum,mean,min,max,count
2020-10-18,0.0,0.0,0.0,0.0,4
2020-10-20,0.0,0.0,0.0,0.0,1
2020-10-24,0.07,0.00875,0.0,0.07,8
2020-10-28,0.0,0.0,0.0,0.0,2
2020-10-31,0.19,0.06333333333333334,0.0,0.18,3
2020-11-02,0.0,0.0,0.0,0.0,1
2020-11-03,0.02,0.02,0.02,0.02,1
2020-11-07,0.3,0.04285714285714286,0.0,0.3,7
2020-11-10,0.09,0.09,0.09,0.09,1
2020-11-11,0.0,0.0,0.0,0.0,1
2020-11-18,0.2,0.2,0.2,0.2,1
2020-11-20,0.0,0.0,0.0,0.0,1
2020-11-21,0.0,0.0,0.0,0.0,6
2020-11-22,0.56,0.14,0.0,0.5,4
2020-11-23,0.1,0.03333333333333333,0.0,0.1,3
2020-11-25,0.0,0.0,0.0,0.0,4
2020-11-27,0.09,0.0045,0.0,0.03,20
2020-11-28,0.06,0.02,0.0,0.06,3
2020-11-29,0.0,0.0,0.0,0.0,1
2020-12-02,0.09,0.045,0.0,0.09,2
2020-12-03,0.0,0.0,0.0,0.0,3
2020-12-05,0.0,0.0,0.0,0.0,1
2020-12-06,0.0,0.0,0.0,0.0,3
2020-12-10,0.0,0.0,0.0,0.0,2
2020-12-11,0.0,0.0,0.0,0.0,2
2020-12-12,0.0,0.0,0.0,0.0,1
2020-12-13,0.22,0.03142857142857143,0.0,0.1,7
2020-12-14,0.0,0.0,0.0,0.0,2
2020-12-15,0.0,0.0,0.0,0.0,2
2020-12-16,0.03,0.005,0.0,0.03,6
2020-12-17,0.01,0.0014285714285714286,0.0,0.01,7
2020-12-18,0.0,0.0,0.0,0.0,1
2020-12-20,0.19,0.02375,0.0,0.09,8
2020-12-24,0.38,0.076,0.0,0.18,5
2020-12-25,0.0,0.0,0.0,0.0,2
2020-12-28,0.0,0.0,0.0,0.0,1
2020-12-31,0.8500000000000001,0.1416666666666667,0.0,0.27,6
2021-01-02,0.21000000000000002,0.030000000000000002,0.0,0.07,7
2021-01-07,0.08,0.08,0.08,0.08,1
2021-01-10,0.04,0.008,0.0,0.04,5
2021-01-11,0.0,0.0,0.0,0.0,1
2021-01-13,0.0,0.0,0.0,0.0,4
2021-01-16,0.0,0.0,0.0,0.0,3
2021-01-18,0.64,0.064,0.0,0.3,10
2021-01-19,0.13,0.13,0.13,0.13,1
2021-01-22,0.0,0.0,0.0,0.0,1
2021-01-24,0.1,0.1,0.1,0.1,1
2021-01-25,0.26,0.08666666666666667,0.0,0.26,3
2021-01-29,0.05,0.016666666666666666,0.0,0.05,3
2021-02-02,0.2,0.2,0.2,0.2,1
2021-02-06,0.36,0.36,0.36,0.36,1
2021-02-09,0.0,0.0,0.0,0.0,1
2021-02-13,0.0,0.0,0.0,0.0,1
2021-02-14,0.0,0.0,0.0,0.0,2
2021-02-17,0.38,0.042222222222222223,0.0,0.18,9
2021-02-18,0.36,0.18,0.0,0.36,2
2021-02-19,0.0,0.0,0.0,0.0,2
2021-02-21,0.07,0.07,0.07,0.07,1
2021-02-23,0.0,0.0,0.0,0.0,1
2021-02-24,0.0,0.0,0.0,0.0,1
2021-02-28,0.1,0.016666666666666666,0.0,0.1,6
2021-03-01,0.0,0.0,0.0,0.0,1
2021-03-03,1.2,0.06315789473684211,0.0,0.32,19
2021-03-04,0.0,0.0,0.0,0.0,2
2021-03-05,0.07,0.035,0.0,0.07,2
2021-03-06,0.0,0.0,0.0,0.0,1
2021-03-07,0.0,0.0,0.0,0.0,3
2021-03-08,0.0,0.0,0.0,0.0,1
2021-03-10,0.0,0.0,0.0,0.0,1
2021-03-11,0.0,0.0,0.0,0.0,2
2021-03-12,0.08,0.08,0.08,0.08,1
2021-03-14,0.0,0.0,0.0,0.0,6
2021-03-15,0.08,0.02,0.0,0.08,4
2021-03-18,0.0,0.0,0.0,0.0,3
2021-03-19,0.0,0.0,0.0,0.0,1
2021-03-20,0.0,0.0,0.0,0.0,6
2021-03-22,0.0,0.0,0.0,0.0,2
2021-03-24,0.07,0.035,0.0,0.07,2
2021-03-25,0.04,0.02,0.0,0.04,2
2021-03-26,0.0,0.0,0.0,0.0,3
2021-03-27,0.07,0.035,0.0,0.07,2
2021-03-28,0.13,0.021666666666666667,0.0,0.13,6
2021-03-30,0.0,0.0,0.0,0.0,2
2021-03-31,0.0,0.0,0.0,0.0,2
2021-04-01,0.0,0.0,0.0,0.0,2
2021-04-02,0.0,0.0,0.0,0.0,1
2021-04-03,0.0,0.0,0.0,0.0,4
2021-04-04,0.08,0.08,0.08,0.08,1
2021-04-05,0.12,0.03,0.0,0.06,4
2021-04-06,0.0,0.0,0.0,0.0,5
2021-04-07,0.08,0.02666666666666667,0.0,0.08,3
2021-04-08,0.0,0.0,0.0,0.0,2
2021-04-09,0.1,0.03333333333333333,0.0,0.1,3
2021-04-10,0.0,0.0,0.0,0.0,1
2021-04-11,0.07,0.07,0.07,0.07,1
2021-04-12,0.05,0.05,0.05,0.05,1
2021-04-14,0.0,0.0,0.0,0.0,2
2021-04-15,0.0,0.0,0.0,0.0,1
2021-04-16,0.1,0.025,0.0,0.07,4
2021-04-17,0.0,0.0,0.0,0.0,4
2021-04-19,0.0,0.0,0.0,0.0,1
2021-04-21,0.0,0.0,0.0,0.0,3
2021-04-22,0.0,0.0,0.0,0.0,2
2021-04-23,0.0,0.0,0.0,0.0,6
2021-04-24,0.17,0.05666666666666667,0.0,0.17,3
2021-04-25,0.0,0.0,0.0,0.0,3
2021-04-28,0.0,0.0,0.0,0.0,1
2021-04-30,0.0,0.0,0.0,0.0,1
2021-05-01,0.14,0.028000000000000004,0.0,0.14,5
2021-05-03,0.06,0.06,0.06,0.06,1
2021-05-04,0.12,0.06,0.04,0.08,2
2021-05-06,0.03,0.005,0.0,0.03,6
2021-05-07,0.0,0.0,0.0,0.0,1
2021-05-08,0.0,0.0,0.0,0.0,2
2021-05-09,0.0,0.0,0.0,0.0,7
2021-05-10,0.0,0.0,0.0,0.0,3
2021-05-11,0.09,0.09,0.09,0.09,1
2021-05-12,0.0,0.0,0.0,0.0,2
2021-05-13,0.0,0.0,0.0,0.0,5
2021-05-14,0.0,0.0,0.0,0.0,4
2021-05-15,0.0,0.0,0.0,0.0,2
2021-05-17,0.1,0.05,0.0,0.1,2
2021-05-18,0.1,0.03333333333333333,0.0,0.1,3
2021-05-21,0.08,0.02,0.0,0.08,4
2021-05-22,0.09,0.09,0.09,0.09,1
2021-05-24,0.1,0.1,0.1,0.1,1
2021-05-27,0.02,0.005,0.0,0.02,4
2021-05-29,0.0,0.0,0.0,0.0,7
2021-05-30,0.0,0.0,0.0,0.0,5
2021-05-31,0.0,0.0,0.0,0.0,5
2021-06-02,0.08,0.02666666666666667,0.0,0.08,3
2021-06-03,0.0,0.0,0.0,0.0,3
2021-06-04,0.0,0.0,0.0,0.0,4
2021-06-08,0.18,0.18,0.18,0.18,1
2021-06-09,0.09,0.09,0.09,0.09,1
2021-06-10,0.11,0.055,0.0,0.11,2
2021-06-12,0.0,0.0,0.0,0.0,1
2021-06-14,0.0,0.0,0.0,0.0,1
2021-06-15,0.0,0.0,0.0,0.0,5
2021-06-16,0.0,0.0,0.0,0.0,1
2021-06-17,0.0,0.0,0.0,0.0,1
2021-06-18,0.17,0.17,0.17,0.17,1
2021-06-20,0.09,0.0225,0.0,0.09,4
2021-06-21,0.0,0.0,0.0,0.0,5
2021-06-22,0.0,0.0,0.0,0.0,5
2021-06-23,0.0,0.0,0.0,0.0,2
2021-06-24,0.0,0.0,0.0,0.0,1
2021-06-25,0.0,0.0,0.0,0.0,2
2021-06-26,0.03,0.015,0.0,0.03,2
2021-06-27,0.0,0.0,0.0,0.0,3
2021-06-28,0.0,0.0,0.0,0.0,1
2021-06-29,0.0,0.0,0.0,0.0,1
2021-06-30,0.98,0.029696969696969697,0.0,0.25,33
2021-07-01,0.18,0.045,0.0,0.18,4
2021-07-02,0.0,0.0,0.0,0.0,3
2021-07-04,0.09,0.0023684210526315787,0.0,0.05,38
2021-07-05,0.01,0.002,0.0,0.01,5
2021-07-06,0.0,0.0,0.0,0.0,3
2021-07-07,0.0,0.0,0.0,0.0,3
2021-07-08,0.04,0.005714285714285714,0.0,0.04,7
2021-07-09,0.22,0.024444444444444446,0.0,0.13,9
2021-07-10,0.01,0.0033333333333333335,0.0,0.01,3
2021-07-11,0.0,0.0,0.0,0.0,5
2021-07-12,0.26,0.026000000000000002,0.0,0.21,10
2021-07-13,0.04,0.02,0.0,0.04,2
2021-07-14,0.0,0.0,0.0,0.0,3
2021-07-15,0.0,0.0,0.0,0.0,5
2021-07-16,0.06,0.01,0.0,0.06,6
2021-07-17,0.02,0.0022222222222222222,0.0,0.01,9
2021-07-18,0.01,0.0016666666666666668,0.0,0.01,6
2021-07-19,0.1,0.03333333333333333,0.0,0.08,3
2021-07-20,0.0,0.0,0.0,0.0,5
2021-07-21,0.0,0.0,0.0,0.0,4
2021-07-22,0.0,0.0,0.0,0.0,3
2021-07-23,0.02,0.005,0.0,0.02,4
2021-07-24,0.17,0.085,0.0,0.17,2
2021-07-25,0.08,0.04,0.0,0.08,2
2021-07-26,0.0,0.0,0.0,0.0,2
2021-07-27,0.0,0.0,0.0,0.0,2
2021-07-28,0.0,0.0,0.0,0.0,4
2021-07-29,0.0,0.0,0.0,0.0,11
2021-07-30,0.0,0.0,0.0,0.0,3
2021-07-31,0.18,0.045,0.0,0.18,4
2021-08-01,0.0,0.0,0.0,0.0,1
2021-08-02,0.23,0.03833333333333334,0.0,0.16,6
2021-08-03,0.0,0.0,0.0,0.0,4
2021-08-04,0.0,0.0,0.0,0.0,4
2021-08-05,0.07,0.014000000000000002,0.0,0.07,5
2021-08-06,0.11,0.022,0.0,0.11,5
2021-08-07,0.2,0.06666666666666667,0.0,0.14,3
2021-08-09,0.05,0.01,0.0,0.05,5
2021-08-10,0.0,0.0,0.0,0.0,3
2021-08-11,0.0,0.0,0.0,0.0,15
2021-08-12,0.1,0.025,0.0,0.1,4
2021-08-13,0.0,0.0,0.0,0.0,5
2021-08-14,0.0,0.0,0.0,0.0,5
2021-08-16,0.2,0.018181818181818184,0.0,0.2,11
2021-08-17,0.05,0.025,0.0,0.05,2
2021-08-18,0.05,0.0025,0.0,0.05,20
2021-08-19,0.11000000000000001,0.012222222222222225,0.0,0.07,9
2021-08-20,0.11,0.005238095238095238,0.0,0.08,21
2021-08-21,0.44999999999999996,0.0375,0.0,0.36,12
2021-08-22,0.32,0.064,0.0,0.13,5
2021-08-24,0.0,0.0,0.0,0.0,1
2021-08-25,0.05,0.002380952380952381,0.0,0.05,21
2021-08-26,0.17,0.02428571428571429,0.0,0.1,7
2021-08-27,0.0,0.0,0.0,0.0,8
2021-08-28,0.05,0.002380952380952381,0.0,0.05,21
2021-08-29,0.08,0.0044444444444444444,0.0,0.08,18
2021-08-30,0.13,0.010833333333333334,0.0,0.1,12
2021-08-31,0.0,0.0,0.0,0.0,24
2021-09-01,0.0,0.0,0.0,0.0,11
2021-09-02,0.18,0.01636363636363636,0.0,0.06,11
2021-09-03,0.0,0.0,0.0,0.0,10
2021-09-04,0.0,0.0,0.0,0.0,7
2021-09-05,0.05,0.002272727272727273,0.0,0.03,22
2021-09-06,0.0,0.0,0.0,0.0,9
2021-09-07,0.0,0.0,0.0,0.0,1
2021-09-08,0.09,0.004736842105263157,0.0,0.09,19
2021-09-10,0.0,0.0,0.0,0.0,2
2021-09-12,0.12,0.0075,0.0,0.1,16
2021-09-13,0.18,0.005625,0.0,0.07,32
2021-09-14,0.0,0.0,0.0,0.0,26
2021-09-15,0.15000000000000002,0.025000000000000005,0.0,0.1,6
2021-09-16,0.11,0.007857142857142858,0.0,0.1,14
2021-09-17,0.04,0.0025,0.0,0.04,16
2021-09-18,0.1,0.004166666666666667,0.0,0.1,24
2021-09-19,0.06,0.0024,0.0,0.06,25
2021-09-20,0.0,0.0,0.0,0.0,4
2021-09-21,0.08,0.01,0.0,0.07,8
2021-09-22,0.0,0.0,0.0,0.0,1
2021-09-23,0.0,0.0,0.0,0.0,1
2021-09-24,0.28,0.0175,0.0,0.18,16
2021-09-25,0.27,0.0675,0.0,0.27,4
2021-09-26,0.08,0.006666666666666667,0.0,0.06,12
2021-09-27,0.0,0.0,0.0,0.0,4
2021-09-28,0.1,0.0125,0.0,0.05,8
2021-09-29,2.29,0.09541666666666666,0.0,0.81,24
2021-09-30,0.0,0.0,0.0,0.0,7
2021-10-01,0.0,0.0,0.0,0.0,9
2021-10-02,0.09,0.015,0.0,0.09,6
2021-10-03,0.01,0.0016666666666666668,0.0,0.01,6
2021-10-04,0.0,0.0,0.0,0.0,6
2021-10-05,0.27999999999999997,0.04666666666666666,0.0,0.18,6
2021-10-06,0.1,0.014285714285714287,0.0,0.1,7
2021-10-07,0.0,0.0,0.0,0.0,2
2021-10-08,0.0,0.0,0.0,0.0,3
2021-10-09,1.31,0.655,0.31,1.0,2
2021-10-10,0.12,0.03,0.0,0.08,4
2021-10-11,0.0,0.0,0.0,0.0,4
2021-10-12,0.2,0.03333333333333333,0.0,0.16,6
2021-10-13,0.04,0.002857142857142857,0.0,0.03,14
2021-10-14,0.0,0.0,0.0,0.0,2
2021-10-15,0.01,0.0016666666666666668,0.0,0.01,6
2021-10-16,0.0,0.0,0.0,0.0,3
2021-10-17,0.02,0.0011764705882352942,0.0,0.02,17
2021-10-18,0.22000000000000003,0.027500000000000004,0.0,0.13,8
2021-10-19,0.0,0.0,0.0,0.0,6
2021-10-20,0.51,0.1275,0.0,0.42,4
2021-10-21,0.76,0.04470588235294118,0.0,0.68,17
2021-10-22,0.02,0.0014285714285714286,0.0,0.02,14
2021-10-23,0.91,0.065,0.0,0.38,14
2021-10-24,0.0,0.0,0.0,0.0,1
2021-10-25,0.21000000000000002,0.007500000000000001,0.0,0.07,28
2021-10-26,0.0,0.0,0.0,0.0,2
2021-10-27,0.54,0.015882352941176472,0.0,0.17,34
2021-10-28,0.01,0.0025,0.0,0.01,4
2021-10-29,0.0,0.0,0.0,0.0,3
2021-10-30,0.0,0.0,0.0,0.0,1
2021-10-31,0.0,0.0,0.0,0.0,6
2021-11-01,0.0,0.0,0.0,0.0,9
2021-11-02,0.0,0.0,0.0,0.0,12
2021-11-03,0.06,0.0075,0.0,0.06,8
2021-11-04,0.08,0.02,0.0,0.08,4
2021-11-05,0.04,0.01,0.0,0.02,4
2021-11-08,0.0,0.0,0.0,0.0,1
2021-11-09,0.0,0.0,0.0,0.0,5
2021-11-10,0.0,0.0,0.0,0.0,6
2021-11-11,0.0,0.0,0.0,0.0,17
2021-11-12,0.0,0.0,0.0,0.0,7
2021-11-13,0.14,0.006666666666666667,0.0,0.1,21
2021-11-14,0.0,0.0,0.0,0.0,3
2021-11-15,0.0,0.0,0.0,0.0,3
2021-11-16,0.03,0.00375,0.0,0.03,8
2021-11-17,0.01,0.0008333333333333334,0.0,0.01,12
2021-11-18,0.0,0.0,0.0,0.0,7
2021-11-19,0.07,0.014000000000000002,0.0,0.07,5
2021-11-20,0.13,0.0325,0.0,0.07,4
2021-11-21,0.08,0.008888888888888889,0.0,0.08,9
2021-11-22,0.07,0.00411764705882353,0.0,0.06,17
2021-11-23,0.12,0.015,0.0,0.08,8
2021-11-24,0.22,0.011,0.0,0.08,20
2021-11-25,0.0,0.0,0.0,0.0,11
2021-11-26,0.15000000000000002,0.07500000000000001,0.07,0.08,2
2021-11-29,0.12,0.007058823529411764,0.0,0.06,17
2021-11-30,0.0,0.0,0.0,0.0,1
2021-12-01,0.15,0.013636363636363636,0.0,0.12,11
2021-12-02,0.04,0.01,0.0,0.04,4
2021-12-04,0.44,0.11,0.01,0.36,4
2021-12-05,0.09,0.0064285714285714285,0.0,0.08,14
2021-12-06,0.0,0.0,0.0,0.0,4
2021-12-08,0.0,0.0,0.0,0.0,5
2021-12-09,0.0,0.0,0.0,0.0,4
2021-12-10,0.0,0.0,0.0,0.0,3
2021-12-11,0.01,0.0003448275862068966,0.0,0.01,29
2021-12-12,0.36,0.072,0.0,0.36,5
2021-12-13,0.0,0.0,0.0,0.0,2
2021-12-14,0.08,0.008,0.0,0.08,10
2021-12-15,0.0,0.0,0.0,0.0,5
2021-12-16,0.09,0.018,0.0,0.09,5
2021-12-17,0.0,0.0,0.0,0.0,2
2021-12-18,0.04,0.008,0.0,0.04,5
2021-12-19,0.0,0.0,0.0,0.0,4
2021-12-20,0.0,0.0,0.0,0.0,1
2021-12-24,0.0,0.0,0.0,0.0,1
2021-12-28,0.05,0.003125,0.0,0.05,16
2022-01-02,0.18,0.045,0.0,0.09,4
2022-01-08,0.0,0.0,0.0,0.0,1
2022-01-13,0.0,0.0,0.0,0.0,2
2022-01-16,0.0,0.0,0.0,0.0,1
2022-01-21,0.0,0.0,0.0,0.0,2
2022-01-23,0.08,0.08,0.08,0.08,1
2022-01-24,0.0,0.0,0.0,0.0,1
2022-01-25,0.05,0.05,0.05,0.05,1
2022-01-27,0.0,0.0,0.0,0.0,3
2022-01-28,0.0,0.0,0.0,0.0,1
2022-01-31,0.0,0.0,0.0,0.0,8
2022-02-01,0.0,0.0,0.0,0.0,1
2022-02-02,0.07,0.007000000000000001,0.0,0.07,10
2022-02-04,0.0,0.0,0.0,0.0,3
2022-02-05,0.0,0.0,0.0,0.0,5
2022-02-06,0.0,0.0,0.0,0.0,7
2022-02-07,0.0,0.0,0.0,0.0,6
2022-02-08,0.0,0.0,0.0,0.0,8
2022-02-09,0.0,0.0,0.0,0.0,8
2022-02-10,0.32,0.021333333333333333,0.0,0.2,15
2022-02-11,0.1,0.008333333333333333,0.0,0.1,12
2022-02-12,0.0,0.0,0.0,0.0,3
2022-02-13,0.0,0.0,0.0,0.0,6
2022-02-14,0.0,0.0,0.0,0.0,2
2022-02-15,0.0,0.0,0.0,0.0,1
2022-02-16,0.0,0.0,0.0,0.0,12
2022-02-17,0.54,0.02347826086956522,0.0,0.2,23
2022-02-18,0.16,0.013333333333333334,0.0,0.1,12
2022-02-19,0.0,0.0,0.0,0.0,2
2022-02-20,0.11,0.055,0.0,0.11,2
2022-02-21,0.01,0.005,0.0,0.01,2
2022-02-22,0.0,0.0,0.0,0.0,7
2022-02-23,0.0,0.0,0.0,0.0,8
2022-02-24,0.0,0.0,0.0,0.0,7
2022-02-25,0.04,0.01,0.0,0.04,4
2022-02-26,0.0,0.0,0.0,0.0,2
2022-02-28,0.0,0.0,0.0,0.0,2
2022-03-01,0.0,0.0,0.0,0.0,10
2022-03-02,0.01,0.0009090909090909091,0.0,0.01,11
2022-03-03,0.0,0.0,0.0,0.0,9
2022-03-04,0.0,0.0,0.0,0.0,2
2022-03-05,0.0,0.0,0.0,0.0,2
2022-03-06,0.0,0.0,0.0,0.0,7
2022-03-07,0.19,0.0095,0.0,0.18,20
2022-03-08,0.0,0.0,0.0,0.0,1
2022-03-11,0.06,0.006,0.0,0.03,10
2022-03-12,0.0,0.0,0.0,0.0,1
2022-03-13,0.0,0.0,0.0,0.0,8
2022-03-14,0.0,0.0,0.0,0.0,6
2022-03-15,0.0,0.0,0.0,0.0,1
2022-04-08,0.0,0.0,0.0,0.0,12
2022-04-12,0.0,0.0,0.0,0.0,8
2022-04-13,0.0,0.0,0.0,0.0,10
2022-04-14,0.0,0.0,0.0,0.0,13
2022-04-15,0.04,0.005,0.0,0.04,8
2022-04-16,0.0,0.0,0.0,0.0,6
2022-04-17,0.11,0.011,0.0,0.08,10
2022-04-18,0.06,0.006,0.0,0.06,10
2022-04-20,0.0,0.0,0.0,0.0,8
2022-04-21,0.03,0.0014285714285714286,0.0,0.03,21
2022-04-22,0.16,0.005161290322580645,0.0,0.08,31
2022-04-23,0.9400000000000001,0.028484848484848488,0.0,0.3,33
2022-04-24,0.0,0.0,0.0,0.0,19
2022-04-25,0.0,0.0,0.0,0.0,3
2022-04-26,0.02,0.02,0.02,0.02,1
2022-04-27,0.0,0.0,0.0,0.0,1
2022-04-28,0.0,0.0,0.0,0.0,3
2022-04-29,0.0,0.0,0.0,0.0,3
2022-04-30,0.0,0.0,0.0,0.0,10
2022-05-01,0.09,0.01125,0.0,0.03,8
2022-05-02,0.03,0.002727272727272727,0.0,0.03,11
2022-05-03,0.04,0.005714285714285714,0.0,0.04,7
2022-05-04,0.01,0.0014285714285714286,0.0,0.01,7
2022-05-05,0.0,0.0,0.0,0.0,1
2022-05-07,0.0,0.0,0.0,0.0,5
2022-05-09,0.0,0.0,0.0,0.0,5
2022-05-10,0.0,0.0,0.0,0.0,4
2022-05-11,0.0,0.0,0.0,0.0,11
2022-05-12,0.01,0.001,0.0,0.01,10
2022-05-13,0.0,0.0,0.0,0.0,10
2022-05-18,0.01,0.0005555555555555556,0.0,0.01,18
2022-05-19,0.02,0.002,0.0,0.02,10
2022-05-20,0.73,0.05615384615384615,0.0,0.4,13
2022-05-21,0.07,0.011666666666666667,0.0,0.07,6
